qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"400",nv,NO,NO,NA,M-Obsoleto,número no visible,2021/11/01,12:50:19,25.68194,-100.34325,./0.png
"401",nv,NO,NO,NA,NA,,2021/11/01,2:29:34,25.67757,-100.33832,./0.png
"402",nv,NO,NO,NA,NA,ilegible,2021/11/01,1:31:03,25.67755,-100.3394,./0.png
"403",nv,NO,NO,NA,NA,ilegible,2021/11/01,1:40:20,25.67804,-100.33879,./0.png
"404",nv,NO,NO,NA,NA,no visible placa,2021/11/01,12:40:36,25.68418,-100.3424,./0.png
"405",nv,NO,NO,NA,NA,placa quemada,2021/11/01,1:59:21,25.68181,-100.34521,./0.png
"406",nv,NO,NO,NA,NA,servicio de media tensión bajo llave,2021/11/01,1:55:30,25.68173,-100.34668,./0.png
"407",nv,NO,NO,NA,NA,vec 6b760k es concentración son 3,2021/11/01,1:44:58,25.67783,-100.33863,./0.png
"408",p0c912,NO,NO,NA,NA,,2021/11/01,2:40:20,25.67713,-100.33803,./0.png
"409",p266hn,NO,NO,NA,NA,,2021/11/01,1:39:36,25.67804,-100.33879,./0.png
"410",p349hn,NO,NO,NA,NA,,2021/11/01,1:39:07,25.67809,-100.3387,./0.png
"411",p582hn,NO,NO,NA,NA,,2021/11/01,2:47:09,25.67693,-100.33772,./0.png
"412",p5g989,NO,NO,NA,NA,,2021/11/01,2:30:48,25.67764,-100.33812,./0.png
"413",p6l250,NO,NO,NA,C5-SinSello,,2021/11/01,12:34:41,25.68381,-100.34271,./0.png
"414",p829hm,NO,NO,NA,NA,,2021/11/01,2:47:56,25.6772,-100.33765,./0.png
"415",p8d746,NO,NO,NA,NA,,2021/11/01,2:30:22,25.67774,-100.33819,./0.png
"416",p8u271,NO,NO,NA,NA,,2021/11/01,2:40:31,25.67712,-100.33784,./0.png
"417",p8u271,NO,NO,NA,NA,,2021/11/01,2:41:46,25.67705,-100.33783,./0.png
"418",pb047a,NO,NO,NA,NA,,2021/11/01,2:12:08,25.67718,-100.33878,./0.png
"419",pf594l,NO,NO,NA,NA,,2021/11/01,1:33:40,25.67726,-100.33918,./0.png
"420",pf815t,NO,NO,NA,NA,,2021/11/01,2:47:10,25.67742,-100.33783,./0.png
"421",pk588a,NO,NO,NA,NA,,2021/11/01,1:48:23,25.68287,-100.346,./0.png
"422",pk792e,NO,NO,NA,NA,,2021/11/01,1:17:18,25.68249,-100.34452,./0.png
"423",pl453j,NO,SI,NA,NA,ok,2021/11/01,1:55:07,25.68192,-100.34618,./0.png
"424",pl992k,NO,SI,NA,NA,,2021/11/01,1:17:33,25.6777,-100.34084,./0.png
"425",r320yf,NO,NO,NA,NA,,2021/11/01,1:48:42,25.68287,-100.346,./0.png
"426",r522yf,NO,NO,NA,NA,,2021/11/01,2:45:57,25.67758,-100.33772,./0.png
"427",r606en,NO,NO,NA,C5-SinSello,,2021/11/01,1:54:26,25.68155,-100.3465,./0.png
"428",r705yg,NO,NO,NA,C5-SinSello,,2021/11/01,12:55:19,25.6816,-100.34417,./0.png
"429",r839yg,NO,NO,NA,C5-SinSello,,2021/11/01,1:45:40,25.68278,-100.34588,./0.png
"430",r900ye,NO,NO,NA,NA,ok,2021/11/01,1:46:10,25.68278,-100.34589,./0.png
"431",r9p074,NO,NO,NA,NA,,2021/11/01,1:39:02,25.67796,-100.33876,./0.png
"432",t017t2,NO,NO,NA,NA,,2021/11/01,2:27:49,25.67697,-100.33824,./0.png
"433",t038tf,NO,NO,NA,NA,ok,2021/11/01,1:51:19,25.68269,-100.34591,./0.png
"434",t594ta,NO,NO,NA,NA,,2021/11/01,2:51:57,25.67686,-100.33665,./0.png
"435",t833ta,NO,NO,NA,C5-SinSello,,2021/11/01,12:33:10,25.68343,-100.34307,./0.png
"436",t85y56,NO,NO,NA,NA,,2021/11/01,1:16:16,25.67766,-100.34083,./0.png
"437",t883ut,NO,NO,NA,NA,,2021/11/01,1:17:31,25.67814,-100.34079,./0.png
"438",td4699,NO,NO,NA,NA,,2021/11/01,2:44:24,25.67678,-100.33771,./0.png
"439",tp6877,NO,NO,NA,NA,,2021/11/01,2:44:49,25.67659,-100.33786,./0.png
"440",u28d84,NO,NO,NA,NA,ok,2021/11/01,12:53:39,25.68269,-100.3437,./0.png
"441",u883am,NO,NO,NA,NA,,2021/11/01,2:51:40,25.67714,-100.33734,./0.png
"442",w089hk,NO,NO,NA,NA,ok,2021/11/01,12:30:05,25.68396,-100.34295,./0.png
"443",w364hk,NO,NO,NA,NA,,2021/11/01,2:29:10,25.67727,-100.33821,./0.png
"444",w384c7,NO,NO,NA,NA,,2021/11/01,2:10:22,25.6771,-100.33878,./0.png
